Sminex,developer,Москва,sale,flat,12,1,83.3,172590000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
ID 12530791,unknown,Москва,sale,flat,78,1,58.0,58500000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,12,1,35.0,9500000.0,Богородское,1-я Гражданская ,99К1,Преображенская площадь,
VESPER,developer,Москва,sale,flat,9,1,57.6,117936000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ID 85604823,unknown,Москва,sale,flat,42,1,42.0,29000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,21,1,21.66,5500000.0,Тропарево-Никулино,Востряковское шоссе,7с3,Озёрная,Комплекс апартаментов CITIMIX
VESPER,developer,Москва,sale,flat,21,1,65.9,82172522.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ID 85604823,unknown,Москва,sale,flat,42,1,42.0,26000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,12,1,33.5,8000000.0,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
Главстрой,developer,Москва,sale,flat,16,1,45.0,23274675.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
White and Broughton,real_estate_agent,Москва,sale,flat,40,1,41.5,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
ID 123328834,homeowner,Москва,sale,flat,14,1,40.0,13700000.0,Перово,Мартеновская ,11/12,Новогиреево,
Галс-Девелопмент,developer,Москва,sale,flat,6,1,50.2,57228000.0,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22
White and Broughton,real_estate_agent,Москва,sale,flat,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,5,1,14.4,3450000.0,Перово, 2-я Энтузиастов,5,Авиамоторная,
Среда,developer,Москва,sale,flat,44,1,31.61,14381127.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
Contact Real Estate,real_estate_agent,Москва,sale,flat,20,1,59.0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
Мария Рыськина,realtor,Москва,sale,flat,12,1,33.5,14500000.0,Беговой,Ленинградский проспект,33А,Динамо,
Главстрой,developer,Москва,sale,flat,35,1,39.22,18847239.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
ZIP Realty,real_estate_agent,Москва,sale,flat,22,1,30.0,11700000.0,,бульвар Андрея Тарковского,11,Рассказовка,Рассказово
Парадайс,real_estate_agent,Москва,sale,flat,9,1,32.5,10800000.0,Тимирязевский, Костякова,2/6,Дмитровская,
MR Group,developer,Москва,sale,flat,46,1,34.8,16375836.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
Homeapp,real_estate_agent,Москва,sale,flat,25,1,34.0,9700000.0,,,7,Потапово,
Никита Гаврилов,realtor,Москва,sale,flat,22,1,40.0,13290000.0,Марьино, Верхние Поля,36К2,Люблино,
Галс-Девелопмент,developer,Москва,sale,flat,27,1,45.7,21798900.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
ID 148596,homeowner,Москва,sale,flat,10,1,38.5,11280000.0,Выхино-Жулебино,Жулебинский бульвар,6/11,Лермонтовский проспект,
ФЛИП,real_estate_agent,Москва,sale,flat,5,1,31.3,8400000.0,Перово,Новогиреевская ,13,Перово,
MR Group,developer,Москва,sale,flat,13,1,85.04,130383328.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
Авеню-Мск,real_estate_agent,Москва,sale,flat,14,1,43.5,12000000.0,Марьино, Перерва,26К2,Марьино,
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,1,35.1,23000000.0,Басманный, Покровка,38С1,Курская,
Sminex,developer,Москва,sale,flat,14,1,72.6,139410000.0,Якиманка,,,Полянка,Лаврушинский ЖК
ID 112609323,realtor,Москва,sale,flat,6,1,59.35,101785250.0,Мещанский, Кузнецкий Мост,12/3С1,Кузнецкий мост,Kuznetsky Most 12 by Lalique
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,16,1,19.0,6000000.0,Отрадное,Алтуфьевское шоссе,2,Владыкино,
Absolute Premium,developer,Москва,sale,flat,18,1,49.8,60432000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
ZIP Realty,real_estate_agent,Москва,sale,flat,10,1,31.0,14500000.0,Раменки,Мичуринский проспект,10К1,Ломоносовский проспект,
Mikhail Uger,realtor,Москва,sale,flat,25,1,36.8,9900000.0,Чертаново Северное,Северное Чертаново мкр,7кБ,Чертановская,
